USER_ID;SEX;AGE;GROUP_NO
294334558;M;0;35145657
294334558;M;0;132245631
294334558;M;0;47923094
294334558;M;0;23688663
294334558;M;0;65121432
294334558;M;0;116887644
294334558;M;0;92025099
294334558;M;0;140346719
294334558;M;0;23065273
294334558;M;0;60708045
294334558;M;0;30509183
294334558;M;0;61052294
294334558;M;0;141303722
294334558;M;0;141882493
294334558;M;0;58798248
294334558;M;0;113372168
294334558;M;0;56058653
294334558;M;0;23064236
294334558;M;0;45441631
294334558;M;0;140481463
294334558;M;0;55157869
294334558;M;0;42793953
294334558;M;0;68565557
294334558;M;0;98906766
294334558;M;0;96589855
294334558;M;0;96931043
294334558;M;0;65047210
294334558;M;0;95708405
294334558;M;0;67323055
294334558;M;0;68198247
294334558;M;0;122628152
294334558;M;0;100841911
294334558;M;0;104289333
294334558;M;0;85808236
294334558;M;0;64715327
294334558;M;0;22079806
294334558;M;0;128458597
294334558;M;0;89815229
294334558;M;0;77619091
294334558;M;0;41774259
294334558;M;0;18496184
294334558;M;0;105253372
294334558;M;0;44758045
294334558;M;0;24628179
294334558;M;0;28625005
294334558;M;0;115385718
294334558;M;0;25380626
294334558;M;0;110786506
294334558;M;0;108113587
294334558;M;0;22822305
294334558;M;0;9118132
294334558;M;0;61906731
294334558;M;0;115025841
294334558;M;0;38415798
294334558;M;0;124428724
294334558;M;0;55245045
294334558;M;0;43978738
294334558;M;0;98283071
294334558;M;0;844447
294334558;M;0;34491673
294334558;M;0;14524722
294334558;M;0;32887633
294334558;M;0;77411518
294334558;M;0;18951849
294334558;M;0;54704756
294334558;M;0;90104283
294334558;M;0;29013846
294334558;M;0;77266004
294334558;M;0;40723928
294334558;M;0;47239287
294334558;M;0;124545047
294334558;M;0;75523091
294334558;M;0;108164285
294334558;M;0;112813961
294334558;M;0;101702808
294334558;M;0;34088155
294334558;M;0;35226316
294334558;M;0;68450016
294334558;M;0;23863253
294334558;M;0;73656789
294334558;M;0;89316262
294334558;M;0;5264590
294334558;M;0;36017776
294334558;M;0;36852503
294334558;M;0;66322477
294334558;M;0;37008294
294334558;M;0;71387819
294334558;M;0;109336394
294334558;M;0;25278433
294334558;M;0;110410283
294334558;M;0;110395659
294334558;M;0;39742797
294334558;M;0;91509984
294334558;M;0;107825183
294334558;M;0;79956509
294334558;M;0;22962247
294334558;M;0;80403494
294334558;M;0;103182832
294334558;M;0;107395659
294334558;M;0;94562193
294334558;M;0;95841787
294334558;M;0;56743417
294334558;M;0;62171460
294334558;M;0;107298409
294334558;M;0;70582341
294334558;M;0;103931665
294334558;M;0;22422882
294334558;M;0;78009332
294334558;M;0;95469208
294334558;M;0;76611297
294334558;M;0;99041660
294334558;M;0;78693011
294334558;M;0;64902517
294334558;M;0;106556711
294334558;M;0;7162353
294334558;M;0;41936401
294334558;M;0;96615622
